id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1rju0XLSgmtqpjrrCJxsp4,blindspot,Charlotte Sands,46,0.399,0.752,1,-2.879,1,0.0369,0.022,0.0,0.539,0.382,164.883,audio_features,spotify:track:1rju0XLSgmtqpjrrCJxsp4,https://api.spotify.com/v1/tracks/1rju0XLSgmtqpjrrCJxsp4,https://api.spotify.com/v1/audio-analysis/1rju0XLSgmtqpjrrCJxsp4,207636,4
3XagHd6dQ24vSujx0ADqXK,Blood Milk Moon,Hermanos Gutiérrez,51,0.686,0.482,2,-10.697,0,0.0283,0.727,0.94,0.132,0.611,111.826,audio_features,spotify:track:3XagHd6dQ24vSujx0ADqXK,https://api.spotify.com/v1/tracks/3XagHd6dQ24vSujx0ADqXK,https://api.spotify.com/v1/audio-analysis/3XagHd6dQ24vSujx0ADqXK,177853,4
5TrEgRKwwmmfNx4KN8usfU,Passionate,AJ Mitchell,48,0.687,0.51,7,-7.956,1,0.0462,0.0415,0.159,0.357,0.372,98.987,audio_features,spotify:track:5TrEgRKwwmmfNx4KN8usfU,https://api.spotify.com/v1/tracks/5TrEgRKwwmmfNx4KN8usfU,https://api.spotify.com/v1/audio-analysis/5TrEgRKwwmmfNx4KN8usfU,163400,4
5l2UlIRagkhJgn2qmA10ZV,Open Scars,Young M.A,52,0.719,0.554,5,-9.604,0,0.41,0.464,0.0,0.123,0.384,91.919,audio_features,spotify:track:5l2UlIRagkhJgn2qmA10ZV,https://api.spotify.com/v1/tracks/5l2UlIRagkhJgn2qmA10ZV,https://api.spotify.com/v1/audio-analysis/5l2UlIRagkhJgn2qmA10ZV,236108,4
289C3Hb4Y8M97dlyJsJwQz,Yams Day,A$AP Twelvyy,53,0.832,0.812,11,-3.338,1,0.26,0.107,0.0,0.23,0.53,129.985,audio_features,spotify:track:289C3Hb4Y8M97dlyJsJwQz,https://api.spotify.com/v1/tracks/289C3Hb4Y8M97dlyJsJwQz,https://api.spotify.com/v1/audio-analysis/289C3Hb4Y8M97dlyJsJwQz,181614,4
2ma25BxbSTq90j64a0SP60,She’s So Cool (with Pale Waves),Bruses,45,0.666,0.91,8,-3.853,1,0.0395,0.00243,0.0261,0.321,0.927,127.956,audio_features,spotify:track:2ma25BxbSTq90j64a0SP60,https://api.spotify.com/v1/tracks/2ma25BxbSTq90j64a0SP60,https://api.spotify.com/v1/audio-analysis/2ma25BxbSTq90j64a0SP60,146250,4
12DjZ06QeaiKJ0s9NP0QBi,airbag,sad alex,38,0.624,0.855,9,-4.679,1,0.137,0.346,0.0,0.122,0.688,94.908,audio_features,spotify:track:12DjZ06QeaiKJ0s9NP0QBi,https://api.spotify.com/v1/tracks/12DjZ06QeaiKJ0s9NP0QBi,https://api.spotify.com/v1/audio-analysis/12DjZ06QeaiKJ0s9NP0QBi,141107,4
0L5lQTiLxwbCk1dZzPWCDV,De Mezclilla el Chalecón,Luis R Conriquez,48,0.803,0.496,8,-6.198,1,0.0712,0.739,0.0,0.152,0.961,102.442,audio_features,spotify:track:0L5lQTiLxwbCk1dZzPWCDV,https://api.spotify.com/v1/tracks/0L5lQTiLxwbCk1dZzPWCDV,https://api.spotify.com/v1/audio-analysis/0L5lQTiLxwbCk1dZzPWCDV,154920,3
6S62tqvoLp4iqXe6c76zi1,No Apologies 1.9 V2_demo,JACOTÉNE,38,0.502,0.304,2,-8.628,1,0.0794,0.61,0.0,0.103,0.105,88.963,audio_features,spotify:track:6S62tqvoLp4iqXe6c76zi1,https://api.spotify.com/v1/tracks/6S62tqvoLp4iqXe6c76zi1,https://api.spotify.com/v1/audio-analysis/6S62tqvoLp4iqXe6c76zi1,127329,4
79cQ8BxtYKsb8nAp8LfcZB,SHINE (with SiR),ARDN,41,0.66,0.708,0,-7.489,0,0.298,0.0267,0.0,0.154,0.837,139.059,audio_features,spotify:track:79cQ8BxtYKsb8nAp8LfcZB,https://api.spotify.com/v1/tracks/79cQ8BxtYKsb8nAp8LfcZB,https://api.spotify.com/v1/audio-analysis/79cQ8BxtYKsb8nAp8LfcZB,179568,4
6nALNis51TQeoi6ycouejO,Daydream,Will Swinton,40,0.757,0.458,1,-7.325,1,0.0271,0.524,0.0,0.129,0.211,109.952,audio_features,spotify:track:6nALNis51TQeoi6ycouejO,https://api.spotify.com/v1/tracks/6nALNis51TQeoi6ycouejO,https://api.spotify.com/v1/audio-analysis/6nALNis51TQeoi6ycouejO,148909,4
2acCrpnHeM7XlylIU0Xczd,Intergalactic Icons,Logic,54,0.657,0.776,6,-3.857,1,0.221,0.0322,0.000165,0.131,0.421,172.979,audio_features,spotify:track:2acCrpnHeM7XlylIU0Xczd,https://api.spotify.com/v1/tracks/2acCrpnHeM7XlylIU0Xczd,https://api.spotify.com/v1/audio-analysis/2acCrpnHeM7XlylIU0Xczd,212062,4
2g3pFa3ySgKc86ZzcgBts5,UFHO,Flyana Boss,44,0.887,0.645,4,-4.065,0,0.208,0.0184,0.00127,0.345,0.544,84.955,audio_features,spotify:track:2g3pFa3ySgKc86ZzcgBts5,https://api.spotify.com/v1/tracks/2g3pFa3ySgKc86ZzcgBts5,https://api.spotify.com/v1/audio-analysis/2g3pFa3ySgKc86ZzcgBts5,131118,4
